ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
45,NORICE ST,K2G 2X7,Ward 8,305587,58,***CONTRACTOR***,Single,Nepean,Construct a 1 storey rear addition on a 2 storey detached dwelling,0,30000,480,1105040,Construction,2011-08-02
124 A,PAMILLA ST,K1S 3L1,Ward 14,38,1524,EASTERN ONTARIO CONSTRUCTION,Apartment,Old Ottawa,Construct a 3 storey triplex dwelling,3,233250,3111,1105041,Construction,2011-08-02
124 B,PAMILLA ST,K1S 3L1,Ward 14,38,1524,EASTERN ONTARIO CONSTRUCTION,Apartment,Old Ottawa,Construct a 3 storey triplex dwelling,3,233250,3111,1105041,Construction,2011-08-02
124 C,PAMILLA ST,K1S 3L1,Ward 14,38,1524,EASTERN ONTARIO CONSTRUCTION,Apartment,Old Ottawa,Construct a 3 storey triplex dwelling,3,233250,3111,1105041,Construction,2011-08-02
126,PAMILLA ST,K1S 3L1,Ward 14,38,1524,EASTERN ONTARIO CONSTRUCTION,Apartment,Old Ottawa,Construct a 3 storey triplex dwelling,3,233250,3111,1105041,Construction,2011-08-02
270,ALBERT ST,K1P 6N7,Ward 14,3922,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alteration to the 9th floor of a 13 storey commercial building,0,89000,3057,1105042,Construction,2011-08-02
2531,SPARKLE ST,K4C 1A1,Ward 19,,15,ACI CONSTRUCTION INC.,Single,Cumberland,Construct a deck in the rear yard of a 2 storey detached dwelling,0,2000,72,1105043,Construction,2011-08-02
185,SOMERSET ST W,K2P 0J2,Ward 14,12281,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to parking garage of a 3 storey commercial building,0,79167,3229,1105044,Construction,2011-08-02
1440  -709,HERON RD,K1V 0X2,Ward 18,527,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Remediation of a marijiuana grow operation on the 7th floor of an 11 storey apartment building (Unit 709),0,5000,579,1105045,Construction,2011-08-02
12,CAMIL ST,,Ward 13,26,,7714319  CANADA INC,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached building with attached garage,1,248000,1584,1105046,Construction,2011-08-02
14,CAMIL ST,,Ward 13,26,,7714319  CANADA INC,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached building with attached garage,1,248000,1584,1105046,Construction,2011-08-02
1525,LORDS MANOR LANE,K4M 1K3,Ward 20,4M-1207,12,CONTRACTOR UNKNOWN,Single,Osgoode,Exterior alterations to install front and rear concrete steps on a 1 storey detached dwelling,0,8000,0,1105048,Construction,2011-08-02
590,BROADVIEW AVE,K2A 2L8,Ward 15,374,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations in the basement of a 2 storey institutional building (Broadview Public School),0,200000,893,1105049,Construction,2011-08-02
1634,FRENETTE ST,K4A 5B7,Ward 19,4M1241,82,***CONTRACTOR***,Single,Cumberland,Enclosure of a hot tub in the rear yard of a detached dwelling,0,0,0,1105050,Pool Enclosure,2011-08-02
151,GLENORA ST,K1S 1J4,Ward 17,102,11,CASTLESTONE DEVELOPMENTS INC,Semi - Detached,Old Ottawa,Construct a 3 storey semi-detached dwelling with attached garage,2,440000,4200,1105051,Construction,2011-08-02
153,GLENORA ST,K1S 1J4,Ward 17,102,11,CASTLESTONE DEVELOPMENTS INC,Semi - Detached,Old Ottawa,Construct a 3 storey semi-detached dwelling with attached garage,2,440000,4200,1105051,Construction,2011-08-02
95,LAKEWAY DR,K1L 5A9,Ward 13,M-92,62-63,MERMAID POOLS - OGILVIE ROAD,Single,Rockcliffe Park,Enclsoure of an inground pool in the rear yard of a detached dwelling,0,0,0,1105052,Pool Enclosure,2011-08-02
8,MILLCREEK CRT,K2G 6Y7,Ward 22,4M-1153,80,CANTERRA DESIGN & CONSULTING INC.,Single,Nepean,Construct an addition at the rear of a 2 storey detached dwelling,0,25000,478,1105053,Construction,2011-08-02
150,WHERNSIDE TER,K2W 0C6,Ward 4,4M-1345,25,***CONTRACTOR***,Single,Kanata,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1105054,Pool Enclosure,2011-08-02
9925,RUSSELL RD,K4B 1R8,Ward 19,,20,***CONTRACTOR***,Detached Garage/Shed,Cumberland,Construct a detached garage in the side yard of a detached dwelling,0,48000,2400,1105055,Construction,2011-08-02
9925,RUSSELL RD,K4B 1R8,Ward 19,,20,CARDINAL RENOVATIONS,Detached Garage/Shed,Cumberland,Construct a detached garage in the side yard of a detached dwelling,0,48000,2400,1105055,Construction,2011-08-02
142,MONTARGIS CIRC,K4A 0M5,Ward 19,4M-1376,33,MERMAID POOLS - OGILVIE ROAD,Single,Cumberland,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1105056,Pool Enclosure,2011-08-02
100,QUEEN ST,K1P 5T8,Ward 14,3922,14 21,C. GIAMBERARDINO CONTRACTING INC.,Office,Old Ottawa,Interior alterations on the 14th floor of an 18 storey commercial building (Suite 1440),0,60000,3735,1105057,Construction,2011-08-02
2750,ELDO ST,,Ward 20,M-176,18,CAMPBELL POOLS - EMBRUN,Single,Osgoode,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1105058,Pool Enclosure,2011-08-02
335,FROST AVE,K1H 5J1,Ward 18,626,14,OAKWOOD BUILDERS,Single,Old Ottawa,Interior alterations and construct a 2nd storey addition to a detached dwelling,0,75000,1000,1105059,Construction,2011-08-02
1892,ROCKLANE DR,K2W 1B5,Ward 5,4M-866,1,METICULOUS RENOVATIONS INC.,Single,Kanata,Construct a screen porch at the rear of a 2 storey detached dwelling,1,20000,192,1105060,Construction,2011-08-02
6067,BUTTONFIELD PL,K1W 1B9,Ward 2,4M-743,8,***CONTRACTOR***,Single,Gloucester,Interior alterations in the basement and 1st floor of a 2 storey detached dwelling,0,4000,97,1105061,Construction,2011-08-02
1235,LONGFIELDS DR,,Ward 22,,14,MINTO COMMUNITIES INC.,Retail,Nepean,Relocate temporary construction trailers to new location (24 months max),0,100,500,1105062,Construction,2011-08-02
848,MARCH RD,K2W 0C9,Ward 4,,,CONTRACTOR UNKNOWN,Office,Kanata,Construct a 1 storey commercial building (National Bank),0,750000,4200,1105063,Construction,2011-08-02
6303,HAZELDEAN RD,K2S 1B9,Ward 6,4M-1089,,CONTRACTOR UNKNOWN,Retail,Goulbourn,"Tenant fit up in a 1 storey commercial building - [Browns Cleaners, Unit C-101]",0,13000,984,1105064,Construction,2011-08-02
190,LATCHFORD RD,K1Z 5W2,Ward 15,302828,5,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct an addition to the garage and a covered porch at the front of a detached dwelling,0,20000,194,1105065,Construction,2011-08-02
11,WHITEHILL AVE,K2G 3A9,Ward 8,447993,5,"GREY, CASEY",Single,Nepean,Interior alteration to the kitchen of a 2 storey detached dwelling,0,100000,592,1105066,Construction,2011-08-03
2002,MER BLEUE RD,K4A 0G2,Ward 2,,1,CONTRACTOR UNKNOWN,Retail,Gloucester,"Tenant fit-up on the 1st floor of a 1 storey commercial building (Laurier Optical, Unit J8)",0,90000,1400,1105067,Construction,2011-08-03
2496,RIVER RD,K4M 1B4,Ward 20,,19,GREEN VALLEY ENVIRONMENTAL,Demolition,Osgoode,Demolish a 1 storey detached dwelling,-1,10000,-1170,1105069,Demolition,2011-08-03
