ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
1151,MEADOWSHIRE WAY,K4M 0A4,Ward 20,4M-1346,13,***CONTRACTOR***,Single,Osgoode,Construct a 2 storey detached dwelling with attached garage,1,359000,3440,1108508,Construction,2011-12-01
292,TRAILGATE ST,K1V 0Z7,Ward 22,4M-1349,71,URBANDALE CONSTRUCTION,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage - Model: Revelstoke 08,1,227000,3100,1108509,Construction,2011-12-01
333,LAURIER AVE W,K1A 0L9,Ward 14,3922,31 - 35,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 6th and 8th floor of a 19 storey office building,0,591000,1600,1108511,Construction,2011-12-01
312,SILENT WOOD GRV,K0A 1L0,Ward 5,4M1414,4,DOYLE HOMES,Single,West Carleton,Construct a 2 storey detached dwelling with attached garages,1,203315,2577,1108512,Construction,2011-12-01
3,CONOVER ST,K2G 0Z1,Ward 9,506464,110,WAIDT CONSTRUCTION & DEVELOPMENT LTD.,Single,Nepean,Construct a 2nd floor addition to a detached dwelling and attached garage,0,200000,1819,1108513,Construction,2011-12-01
4412,5TH LINE RD,K0A 2W0,Ward 20,,N PT LOT 43,FOUR SEASON SUNROOMS,Single,Osgoode,Construct a 1 storey addition at the rear of a 2 storey detached dwelling (sunroom),0,87054,522,1108514,Construction,2011-12-01
40,GERTIE ST,K0A 2Z0,Ward 21,4m-1183,109,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Devon 2011 A3,1,174080,2344,1108515,Construction,2011-12-01
390,MARCH RD,K2K 0G7,Ward 4,,"25, 26 & 27",KANATA RESEARCH PARK,Office,Kanata,Interior alterations on the main floor of a 1 storey officel building (Mitel). Create a public corridor for multi-tenant use. Fit-up for one tenant.,0,99000,8611,1108516,Construction,2011-12-01
1060,BASELINE RD,K2C 0A6,Ward 9,30,PT LOTS 11 & 12,CONTRACTOR UNKNOWN,Institutional,Nepean,Interirior alterations/retrofit to the elevator in a 2 storey chruch (St. Augustine's),0,100000,431,1108517,Construction,2011-12-01
2695,PAGE RD,K1W 1G2,Ward 2,5R9333,PT LOT 5,RICHCRAFT HOMES LTD,Demolition,Gloucester,Demolish a 2 storey detached dwelling,-1,28000,-20064,1108520,Demolition,2011-12-01
1116,BATHGATE DR,K1J 8G2,Ward 11,854,251,***CONTRACTOR***,Single,Gloucester,Construct an attached garage at the side of a detached dwelling,0,21000,392,1108521,Construction,2011-12-01
150,TUNNEY'S PASTURE DRWY,K1A 0T6,Ward 15,4M-396,34,CANNONBYE ENTERPRISES LTD.,Office,Old Ottawa,Interior alterations in the basement of a 4 storey commercial building,0,130000,8278,1108523,Construction,2011-12-01
3,REDBERRY CRT,K1B 3C6,Ward 2,4M-,578,JAZZ SOLAR SOLUTIONS,Single,Gloucester,Install solar panels on the roof of a 2 storey detached dwelling,0,12500,484,1108524,Construction,2011-12-01
50,HINES RD,K2K 2M5,Ward 4,4R-3699,PT LOT 8,MATTAMY DEVELOPMENT CORPORATION,Office,Kanata,Tenant fit-up on the 1st floor in a 2 storey office building (Mattamy Deverlopments),0,200000,8882,1108525,Construction,2011-12-01
36,GERTIE ST,K0A 2Z0,Ward 21,4M-1183,111,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 storey detached dwelling with attached garage (The McKinley Elev A2),1,192420,2606,1108526,Construction,2011-12-01
680,BIRCHLAND CRES,K2S 0S9,Ward 6,4M-1447,5,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 storey detached dwelling with attached garage (Model: Helmsley),1,235750,3225,1108527,Construction,2011-12-01
145,GENERAL AVE,K1Z 7W9,Ward 16,268159,169,"EVANS, BRADLEY",Single,Old Ottawa,Plumbing only - Interior alterations to change all plumbing in a 2 storey detached dwelling,0,0,0,1108528,Construction,2011-12-01
336,CRESTVIEW RD,K1H 5G6,Ward 18,626,6,***CONTRACTOR***,Single,Old Ottawa,Interior renovations to an  existing garage converting  it to a workshop in a one storey single family dwelling,0,1000,17,1108529,Construction,2011-12-01
700,BIRCHLAND CRES,K2S 0S9,Ward 6,4M-1447,,HOLITZNER HOMES INC.,Single,Goulbourn,Construct a 2 storey detached dwelling with attached garage - Model Hampton (2010),1,181000,2078,1108530,Construction,2011-12-01
69,ST. FRANCIS ST,K1Y 1W8,Ward 15,98608,65,OTTAWA GENERAL CONTRACTORS,Single,Old Ottawa,Construct an addition at the side of a 1 storey detached dwelling,0,10000,41,1108531,Construction,2011-12-01
1110,LONGFIELDS DR,K2J 0H9,Ward 22,4M1303,,CONTRACTOR UNKNOWN,Institutional,Nepean,Construct a 1 storey addition at the side of a 2 storey institutional building - [Ècole Secondaire Catholique Pierre-Savard],0,1574410,9690,1108532,Construction,2011-12-01
1460,MERIVALE RD,K2E 5P2,Ward 9,30,PT LOTS 17 TO 19,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fit-up on the 1st floor of a 1 storey commercial building - (Booster Juice),0,35860,646,1108533,Construction,2011-12-01
1481,CYRVILLE RD,K1B 3L7,Ward 11,,24-25,DILFO MECHANICAL LTD,Mixed,Gloucester,Interior alterations to the 2nd floor of a 2 storey mixed warehouse and office building,0,168833,4833,1108535,Construction,2011-12-01
500,EAGLESON RD,K2M 1H4,Ward 23,,32,CONTRACTOR UNKNOWN,Retail,Kanata,Tenant fit-up  to the main floor of a 1 storey retail building (Unit 40),0,6000,1001,1108536,Construction,2011-12-01
