ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
512,GRAND TULLY WAY,K1V 2M8,Ward 22,4M-1338,17,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4,  2 storey rowhouses with attached garages - Franklin (x2); Cabot; Columbus",4,498740,6388,1201611,Construction,2012-04-02
514,GRAND TULLY WAY,K1V 2M8,Ward 22,4M-1338,17,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4,  2 storey rowhouses with attached garages - Franklin (x2); Cabot; Columbus",4,498740,6388,1201611,Construction,2012-04-02
516,GRAND TULLY WAY,K1V 2M8,Ward 22,4M-1338,17,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4,  2 storey rowhouses with attached garages - Franklin (x2); Cabot; Columbus",4,498740,6388,1201611,Construction,2012-04-02
518,GRAND TULLY WAY,K1V 2M8,Ward 22,4M-1338,17,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 4,  2 storey rowhouses with attached garages - Franklin (x2); Cabot; Columbus",4,498740,6388,1201611,Construction,2012-04-02
720,BOOTHFIELD ST,K1V 2M8,Ward 22,4M-,44,URBANDALE CONSTRUCTION,Single,Gloucester,Construct a 2 storey detached dwelling with attached 2 car garage - Model: Custom model - Carmel 2008 B,1,148150,1883,1201612,Construction,2012-04-02
176,SPRINGFIELD RD,K1M 1C2,Ward 13,,3,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Interior alterations to Install a shower on the 2nd floor of a 2 storey semi-detached dwelling,0,6000,100,1201613,Construction,2012-04-02
549,ERINWOODS CIRC,K2J 5M7,Ward 22,1233,144,JUSTICE CONSTRUCTION LTD.,Single,Nepean,Interior alterations on the 1st floor of a 2 storey detached dwelling,0,15000,172,1201614,Construction,2012-04-02
875,HERON RD,K1A 1A2,Ward 17,,JG PT 15 TO 20,CARDINAL CONTRACTING,Office,Old Ottawa,Interior alterations to modify the fire alarm system in the basement of a 10 storey office building (Canada Revenue Agency),0,40000,150,1201615,Construction,2012-04-02
2934,BASELINE RD,K2H 1B2,Ward 8,529418,35,CONTRACTOR UNKNOWN,Office,Nepean,Install 2 generators in the basement of a 5 storey office building,0,61000,538,1201616,Construction,2012-04-02
526,KIRKWOOD AVE,K1Z 5X1,Ward 15,364,16,ALL ROOMS SOLUTIONS INC,Single,Old Ottawa,Interior alterations on the 2nd floor of a 2 storey detached dwelling,0,15000,301,1201618,Construction,2012-04-02
38,WIMBLEDON WAY,K2K 3J2,Ward 4,1095,,***CONTRACTOR***,Rowhouse,Kanata,Interior alterations to the 1st floor of a 2 storey rowhouse,0,10000,100,1201619,Construction,2012-04-02
955,ADMIRAL AVE,K1Z 6L8,Ward 16,268159,61,OTTAWA HOUSEWORKS,Single,Old Ottawa,Construct an addition at the front and side of a 1 storey detached dwelling,0,80000,530,1201620,Construction,2012-04-02
703,KING EDWARD AVE,K1N 7N9,Ward 12,45224,38,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey institutional building,0,44000,-3606,1201621,Demolition,2012-04-02
705,KING EDWARD AVE,K1N 6N5,Ward 12,45224,38,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey institutional building,0,44000,-3606,1201621,Demolition,2012-04-02
665,BRONSON AVE,K1S 4E7,Ward 17,189959,,"BARUT, VIRGILIO",Retail,Old Ottawa,Interior alterations to a 1 storey retail building (Cinnamon Xpress),0,8000,200,1201622,Construction,2012-04-02
2247,HARDING RD,K1G 3B3,Ward 18,4M-756,,"TAYLOR, WAYNE",Single,Old Ottawa,Interior alterations on the 1st floor of a 2 storey detached dwelling,0,3000,240,1201623,Construction,2012-04-02
701,TREADWAY PRIV,K2J 5T4,Ward 3,4M-1423,,MONARCH CORPORATION,Rowhouse,Nepean,Construct a 2 Storey Rowhouse with attached garages,6,717270,9498,1201624,Construction,2012-04-02
703,TREADWAY PRIV,K2J 5T4,Ward 3,4M-1423,,MONARCH CORPORATION,Rowhouse,Nepean,Construct a 2 Storey Rowhouse with attached garages,6,717270,9498,1201624,Construction,2012-04-02
705,TREADWAY PRIV,K2J 5T4,Ward 3,4M-1423,,MONARCH CORPORATION,Rowhouse,Nepean,Construct a 2 Storey Rowhouse with attached garages,6,717270,9498,1201624,Construction,2012-04-02
707,TREADWAY PRIV,K2J 5T4,Ward 3,4M-1423,,MONARCH CORPORATION,Rowhouse,Nepean,Construct a 2 Storey Rowhouse with attached garages,6,717270,9498,1201624,Construction,2012-04-02
