ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
3828,ARMITAGE AVE,,Ward 5,586,14,SANDBAY SIGNATURE HOMES INC.,Single,West Carleton,Construct a 2 storey detached dwelling with attached garage,1,600000,3000,1204081,Construction,2012-07-03
729,KEENAN AVE,K2A 0P5,Ward 15,317,47,MERMAID POOLS,Single,Old Ottawa,Enclosure of a semi inground pool in the rear yard of a detached dwelling,0,0,0,1204082,Pool Enclosure,2012-07-03
942,WESTON DR,K1G 1X2,Ward 18,662,1252,KHARMONT,Single,Old Ottawa,Interior alterations to add a powder room in the basement of a 1 storey detached dwelling,0,4000,21,1204084,Construction,2012-07-03
24,ST. REMY DR,K2J 1A3,Ward 3,M-113,203,GILLESPIE HANDYMAN SERVICES,Single,Nepean,Replace existing deck at the rear of a 1 storey detached dwelling,0,10000,400,1204090,Construction,2012-07-03
220,ACCOLADE PRIV,K2G 4R8,Ward 9,645571,,LARCO CORPORATION,Rowhouse,Nepean,"Construct a block of 3, 3 storey rowhouses with attached garages M: Mulberry",3,398850,5118,1204091,Construction,2012-07-03
222,ACCOLADE PRIV,K2G 4R8,Ward 9,645571,,LARCO CORPORATION,Rowhouse,Nepean,"Construct a block of 3, 3 storey rowhouses with attached garages M: Mulberry",3,398850,5118,1204091,Construction,2012-07-03
224,ACCOLADE PRIV,K2G 4R8,Ward 9,645571,,LARCO CORPORATION,Rowhouse,Nepean,"Construct a block of 3, 3 storey rowhouses with attached garages M: Mulberry",3,398850,5118,1204091,Construction,2012-07-03
4365,RAINFOREST DR,K1V 1L4,Ward 22,4M-951,47,MERMAID POOLS,Single,Gloucester,Enclosure of semi inground pool in the rear yard of a detached dwelling,0,0,0,1204092,Pool Enclosure,2012-07-03
350,PALLADIUM DR,K2V 1A8,Ward 23,,1,CONTRACTOR UNKNOWN,Office,Kanata,Tenant fit-up on the 2nd floor of a 2 storey office building (CLNPC),0,20000,1150,1204093,Construction,2012-07-03
326,FIRST AVE,K1S 2G9,Ward 17,174506,177,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to a 2 storey detached dwelling,0,5000,600,1204095,Construction,2012-07-03
1703,MALLARD AVE,K2C 1A1,Ward 8,372115,617,GENERAL REPAIRS AND RENOVATIONS INC,Single,Old Ottawa,Exterior alterations to a 1 storey detached dwelling (underpinning of front wall foundation),0,7000,45,1204096,Construction,2012-07-03
216,WABISKAW PRIV,K2J 0E6,Ward 3,4M-1277,,***CONTRACTOR***,Rowhouse,Nepean,Construct a deck at the rear of a 2 storey rowhouse,0,8000,193,1204098,Construction,2012-07-03
1138,FIELDOWN ST,K4C 1R7,Ward 19,4M-959,28,***CONTRACTOR***,Single,Cumberland,Exterior alterations to add a roof on a deck at the rear of a 1 storey detached dwelling,0,9500,337,1204099,Construction,2012-07-03
156,REIS RD,K0A 1L0,Ward 5,4M-745,,OTTAWA PAVEMASTER,Industrial,West Carleton,Construct a storage building,0,107200,2682,1204100,Construction,2012-07-03
6,LISMER CRES,K2K 1A2,Ward 4,829,557,CONTRACTOR UNKNOWN,Single,Kanata,PLUMBING ONLY - Install a mainline backwater valve on the sanitary sewer in a detached dwelling,0,0,0,1204101,Construction,2012-07-03
558,MELBOURNE AVE,K2A 1W8,Ward 15,235,28,DOYLE HOMES,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling with attached garage,2,300000,4000,1204102,Construction,2012-07-03
560,MELBOURNE AVE,K2A 1W8,Ward 15,235,28,DOYLE HOMES,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling with attached garage,2,300000,4000,1204102,Construction,2012-07-03
6565,FALLOWFIELD RD,K2S 1B8,Ward 21,,20,KEMPTVILLE POOL & SPA,Single,Goulbourn,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1204103,Pool Enclosure,2012-07-03
3525,LARMOURS RD,,Ward 19,,11,TOP HAT HOME COMFORT SERVICES,Single,Cumberland,Install a wood burning furnace in the basement of a detached dwelling,0,5000,500,1204104,Construction,2012-07-03
