ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
1201,OHIO ST,K1H 0A1,Ward 17,M-46,7,LONGWOOD BUILDING CORPORATION,Apartment,Old Ottawa,Constuct 36 condominium units with one level of underground parking,36,6200000,41401,1200933,Construction,2012-03-01
456,BRIGATINE AVE,K2S 0P9,Ward 6,,59,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Westlynn 2009 C Walkout,1,210869,2869,1200934,Construction,2012-03-01
1430,PRINCE OF WALES DR,K2C 1N6,Ward 16,517,10,7783965 CANADA INC.,Mixed,Old Ottawa,Interior alterations on the 1st floor of a 5 storey mixed use building,0,45000,1000,1200935,Construction,2012-03-01
72,KENORA ST,K1Y 3L1,Ward 15,M-28,2192,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior/exterior alterations to a 2 storey detached dwelling,0,10000,280,1200936,Construction,2012-03-01
375,RICHMOND RD,K2A 0E7,Ward 15,179,16,DOMICILE DEVELOPMENTS INC.,Office,Old Ottawa,Exterior alterations to the fire escape of a 2 storey office building,0,4600,0,1200937,Construction,2012-03-01
2160,MONTREAL RD,K1J 1G4,Ward 11,4M-916,,CONTRACTOR UNKNOWN,Retail,Gloucester,Interior alterations to the main floor of a 1 storey retail building,0,20000,138,1200938,Construction,2012-03-01
263,BLACK SAGE CRES,K1V 2J8,Ward 22,4M-1328,85,***CONTRACTOR***,Single,Gloucester,Construct a deck at the rear of a 2 storey detached dwelling,0,2280,807,1200939,Construction,2012-03-01
159,CHESTERTON DR,K2E 7E6,Ward 9,4M-344,,CONTRACTOR UNKNOWN,Institutional,Nepean,Install 366 solar panels on the roof of an institutional building (Deslaurier High School),0,105000,0,1200940,Construction,2012-03-01
41,WHEATLAND AVE,K2M 2L2,Ward 23,4M-838,19,***CONTRACTOR***,Single,Kanata,Interior alterations to an ensuite bathroom in a detached dwelling,0,5000,75,1200941,Construction,2012-03-01
2000,RESEARCH RD,,Ward 10,,,DEFRAN INC.,Industrial,Gloucester,Construct an addition on the side of a 1 storey institutional building,0,363000,1603,1200942,Construction,2012-03-01
1408,BLACKHORSE CRT,K4M 0A6,Ward 20,4M-1406,9,CONTRACTOR UNKNOWN,Single,Osgoode,Construct a 2 storey detached dwelling with attached garage,1,453390,6760,1200943,Construction,2012-03-01
24,BELLFIELD ST,K2B 6K8,Ward 7,421148,49,***CONTRACTOR***,Detached Garage/Shed,Nepean,Construct a shed in the rear yard of a detached dwelling,0,4000,212,1200946,Construction,2012-03-01
2277,RIVERSIDE DR,K1H 7X6,Ward 17,4M-,,MAG EASTWOOD CONSTRUCTION,Retail,Old Ottawa,Tenant fit up in a 1 storey retail building (Unit 105 - Tanjay),0,70000,2000,1200947,Construction,2012-03-01
389,WILMONT AVE,K2A 0B2,Ward 15,179,20,CLARKWAY CONSTRUCTION,Demolition,Old Ottawa,Demolish a 2 storey single family dwelling and 2 sheds,-1,8000,-1507,1200948,Demolition,2012-03-01
439,QUEEN ST,K1R 5A6,Ward 14,3922,20 TO 22,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior/exterior alterations to the side entrance of a 2 storey institutional building - [Christ Church Cathedral],0,60000,646,1200950,Construction,2012-03-01
187,MARTIN AVE,K1K 2V2,Ward 13,298,178,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to the 2nd storey in a 2 storey detached dwelling,0,40000,345,1200951,Construction,2012-03-01
1754,MONTREAL RD,K1J 6N3,Ward 11,,20,CONTRACTOR UNKNOWN,Retail,Gloucester,Tenant fit up on the 1st floor of a 1 storey commercial building (Convenience Store),0,72700,1800,1200953,Construction,2012-03-02
355,MONTREAL RD,K1L 8H3,Ward 12,246,,CONTRACTOR UNKNOWN,Retail,Vanier,Tenant fit-up in a 1 storey retail building (Pili Pili Chicken),0,16550,741,1200954,Construction,2012-03-02
208,CABRELLE PL,K4M 0A9,Ward 21,4M-1407,40,MCI POOLS,Single,Rideau,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1200955,Pool Enclosure,2012-03-02
1532,CLAYMOR AVE,K2C 1T1,Ward 16,455,51,MCI POOLS,Single,Old Ottawa,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1200956,Pool Enclosure,2012-03-02
41,FLORENCE ST,K2P 0W6,Ward 14,21612,"PT 5, 6",GARBO CONSTRUCTION,Apartment,Old Ottawa,"Remove and replace a 2 storey porch and exterior alterations at the front of a 2 storey, 3 unit apartment building",0,18000,138,1200957,Construction,2012-03-02
74,ROCHELLE DR,K0A 2Z0,Ward 21,4M-1409,37,CEDARSTONE HOMES LIMITED,Single,Goulbourn,Construct a 2 storey detached dwelling with attached garages Model - Mira,1,300000,2200,1200958,Construction,2012-03-02
107,BRAMBLING WAY,K2J 5V3,Ward 3,4M-1445,9,TAMARACK (NEPEAN) CORPORATION,Single,Nepean,Construct a 2 storey detached dwelling with attached garage,1,259410,3563,1200959,Construction,2012-03-02
109,BRAMBLING WAY,K2J 5V2,Ward 3,4M-1445,9,TAMARACK DEVELOPMENTS CORPORATION,Single,Nepean,Construct a 2 storey detached dwelling with attached garage -The Meadows,1,191510,2593,1200960,Construction,2012-03-02
100,BRAMBLING WAY,K2J 5V3,Ward 3,4M-1445,65,TAMARACK (NEPEAN) CORPORATION,Single,Nepean,Construct a 2 storey detached dwelling with attached 2 car garage (The Meadows),1,259410,3563,1200962,Construction,2012-03-02
115,BRAMBLING WAY,K2J 5V2,Ward 3,4M-1445,73,TAMARACK DEVELOPMENTS CORPORATION,Single,Nepean,Construct a 2 storey detached dwelling with attached garage(Model 4321 A),1,200680,2474,1200963,Construction,2012-03-02
112,BRAMBLING WAY,K2J 5V2,Ward 3,4M-1445,59,TAMARACK DEVELOPMENTS CORPORATION,Single,Nepean,Construct a 2 storey detached dwelling with attached garage (Model 5054 B),1,259410,3563,1200964,Construction,2012-03-02
231,CLARIDGE DR,K2J 5V8,Ward 3,4M-1427,2,CONTRACTOR UNKNOWN,Semi - Detached,Nepean,Construct a semi-detached dwelling with attached garages (Model: Ruby),2,272060,2278,1200965,Construction,2012-03-02
233,CLARIDGE DR,K2J 5V8,Ward 3,4M-1427,2,CONTRACTOR UNKNOWN,Semi - Detached,Nepean,Construct a semi-detached dwelling with attached garages (Model: Ruby),2,272060,2278,1200965,Construction,2012-03-02
236,GRACEWOOD CRES,,Ward 22,4M-1454,27,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage - Model: 4308 C 2011,1,189340,2562,1200966,Construction,2012-03-02
238,GRACEWOOD CRES,,Ward 22,4M-1454,28,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 3604 2007 G extended dinette,1,163160,2188,1200967,Construction,2012-03-02
1492,BACK PLACE AVE,K4P 1R3,Ward 20,4M-1151,21,***CONTRACTOR***,Single,Osgoode,Construct a 1 storey detached dwelling with attached garage,1,170000,2000,1200968,Construction,2012-03-02
1988,ROSEBELLA AVE,K1T 1G7,Ward 10,326,PT 1304 TO 1306,CONTRACTOR UNKNOWN,Single,Gloucester,Re-construct a 2 storey detached dwelling with attached 1 car garage to replace a bungalow destroyed by fire,1,237050,3094,1200969,Construction,2012-03-02
251,SIR FREDERICK BANTING DRWY,,Ward 15,396,"34, 35, 36",LAURIN & COMPANY (152610 CANADA INC.),Office,Old Ottawa,Interior alterations on the 3rd and 4th floor of a 4 storey commercial building,0,1458000,34500,1200970,Construction,2012-03-02
283,STEWART ST,K1N 6K3,Ward 12,6,35,CONTRACTOR UNKNOWN,Single,Old Ottawa,Install a woodstove on the 1st floor of a 3 storey detached dwelling,0,6000,0,1200971,Construction,2012-03-02
104,GRANVILLE ST,K1L 6Y4,Ward 12,681,40,IMPRESSIVE CLIMATE CONTROL,Single,Vanier,Interior alterations to install a wood burning insert and chimney liner in existing masonry fireplace in the basement of a 2 storey detached dwelling,0,4390,0,1200972,Construction,2012-03-02
4338,INNES RD,K4A 3W3,Ward 19,,,CONTRACTOR UNKNOWN,Retail,Cumberland,Install 1187 solar panels on the roof of a 4 storey storage building,0,500000,33001,1200973,Construction,2012-03-02
90,SPARKS ST,K1P 5B4,Ward 14,3922,22-24,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 1st floor of a 13 storey office building,0,274686,4822,1200974,Construction,2012-03-02
90,SPARKS ST,K1P 5B4,Ward 14,3922,22-24,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 7th floor of a 13 storey office building (PWGSC-TPSGC),0,422055,2825,1200975,Construction,2012-03-02
8465,NORTH SERVICE RD,K1C 1T1,Ward 1,4M-1425,,BRIGIL PLATINUM,Other,Cumberland,Construct a 1 storey storage building,0,20000,478,1200976,Construction,2012-03-02
90,SPARKS ST,K1P 5B4,Ward 14,3922,22 - 25,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 1st floor of a 13 storey office building,0,1405720,1006,1200978,Construction,2012-03-02
231,GRACEWOOD CRES,,Ward 22,,24,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage,1,239180,3274,1200979,Construction,2012-03-02
125,SUSSEX DR,K1A 0G2,Ward 12,3 R,1,4083261 CANADA INC. / LE GROUPE FIA,Office,Old Ottawa,Interior alterations on the first floor main lobby of an 11 storey office building,0,616000,0,1200980,Construction,2012-03-02
455,BANK ST,K2P 1Y9,Ward 14,30,1,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit up on the ground floor of a 10 storey building (Starbucks),0,140850,1516,1200981,Construction,2012-03-05
416,CLARENCE ST E,K1N 5R8,Ward 12,43586,3,OLD MCDONALD CONSTRUCTION,Rowhouse,Old Ottawa,Interior alterations to the 1st floor of a 2 storey rowhouse,0,86000,800,1200983,Construction,2012-03-05
90,MONTEROSSA ST,K2S 2H5,Ward 6,4M-1266,39,***CONTRACTOR***,Single,Goulbourn,Interior alterations to finish the basement of a 2 storey detached dwelling,0,4000,300,1200984,Construction,2012-03-05
844,MARCH RD,K2W 0C9,Ward 4,4M-1326,PT LOT 11,CONTRACTOR UNKNOWN,Retail,Kanata,Tenant fitup in a 1 storey retail building (Unit 101 - Building F - Starbuck's),0,120000,1100,1200985,Construction,2012-03-05
3314,TORWOOD DR,,Ward 5,,6,RIVINGTON HOMES LTD,Demolition,West Carleton,Demolish a 2 storey detached dwelling,-1,1000,-2600,1200986,Demolition,2012-03-05
628,WILLOWMERE WAY,K1T 0K2,Ward 22,4M-1426,18,TARTAN HOMES CORPORATION,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage,1,148040,1972,1200987,Construction,2012-03-05
409,STALWART CRES,K1T 0H3,Ward 22,4M-1385,206,TARTAN HOMES CORPORATION,Semi - Detached,Gloucester,Construct a 2 storey semi-detached dwelling with attached garages,2,301447,455,1200988,Construction,2012-03-05
411,STALWART CRES,K1T 0H3,Ward 22,4M-1385,206,TARTAN HOMES CORPORATION,Semi - Detached,Gloucester,Construct a 2 storey semi-detached dwelling with attached garages,2,301447,455,1200988,Construction,2012-03-05
1900  -20,INNES RD,K1B 3K5,Ward 2,,21,CONTRACTOR UNKNOWN,Retail,Gloucester,"Interior alterations in a 1 storey retail building - (Corbeil Appliances, Unit 20)",0,136000,6800,1200989,Construction,2012-03-05
2773,LANCASTER RD,K1B 4V8,Ward 18,4M-121,,"DAMIEN, MAURICE",Mixed,Old Ottawa,Tenant fit-up in a 2 storey industrial building - [Valley Flowers],0,120000,19376,1200990,Construction,2012-03-05
4772,BANK ST,K0A 2P0,Ward 22,4R7076,18-19,TAGGART REALTY MANAGEMENT INC.,Office,Gloucester,"Tenant fit up in a 1 storey office building ( Unit 7, Patterson Dental)",0,33000,1670,1200991,Construction,2012-03-05
1558,PAYETTE DR,K1E 1S9,Ward 1,M-23,92,OTTAWA STRUCTURAL RESIDENTIAL SERVICES LIMITED,Single,Cumberland,Exterior alterations to the foundation of a 2 storey detached dwelling,0,24750,30,1200992,Construction,2012-03-05
2121,CARLING AVE,K2A 1S3,Ward 7,316039,,O'CONNOR CONSTRUCTION INC.,Retail,Old Ottawa,Interior alterations to the ground floor of a 1 storey retail building,0,78000,2600,1200993,Construction,2012-03-05
152,LOREKA CRT,K2S 0N3,Ward 6,4M-1390,4,BRIGIL HOMES,Single,Goulbourn,Construct a 1 storey detached dwelling with attached garage (Model: Strandhill Loft -MS),1,209000,2195,1200995,Construction,2012-03-05
88,PLYMOUTH ST,K1S 3E3,Ward 17,114089,5,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct an accessory apartment in the basement of a 2 storey detached dwelling,1,10000,323,1200996,Construction,2012-03-05
366,RICHMOND RD,K2A 0E8,Ward 15,204,5 to 6,CONTRACTOR UNKNOWN,Retail,Old Ottawa,FOUNDATION ONLY for a future 2 storey addition at the side of a 2 storey retail commercial building - [Moutain Equipment Co-Op],0,833333,9483,1200997,Construction,2012-03-06
2,ASH ST,K2H 7S3,Ward 8,M-65,11,CONTRACTOR UNKNOWN,Single,Nepean,Remove mobile home and replace with new mobile home.,1,95000,1173,1200998,Construction,2012-03-06
1129,FALAISE RD,K2E 6R4,Ward 9,289002,173,***CONTRACTOR***,Single,Nepean,Construct a 2 storey single family dwelling with an attached garage.,1,380000,4932,1200999,Construction,2012-03-06
1150,CYRVILLE RD,K1J 7S9,Ward 11,4M-,,SITECAST CONSTRUCTION CORPORATION,Office,Gloucester,Tenant fit up on the 2nd floor of a 4 storey office building,0,64000,3500,1201000,Construction,2012-03-06
525,TESKIWA CRES,K2W 1H7,Ward 4,4M-1280,7,***CONTRACTOR***,Single,Kanata,Finish the basement in a 2 storey detached dwelling,0,33000,860,1201001,Construction,2012-03-06
3020  -200,HAWTHORNE RD,K1G 3J6,Ward 10,,1,BMI CORPORATION,Mixed,Old Ottawa,Tenant fit up in 1 storey mixed use building - Unit 200,0,250000,8999,1201002,Construction,2012-03-06
110,PLACE D'ORLEANS DR,K1C 2L9,Ward 1,,,CONTRACTOR UNKNOWN,Mixed,Cumberland,Interior alterations on the 1st floor of a 2 storey retail building ( Reitman's Place D'Orleans),0,180000,3600,1201003,Construction,2012-03-06
