ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
420,VIA VERONA AVE,,Ward 3,,18-19,CAMPANALE HOMES,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,6575,263,1300563,Construction,2013-02-01
424,VIA VERONA AVE,,Ward 3,4M-,,CAMPANALE BROTHERS CONSTRUCTION LTD.,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,5925,237,1300564,Construction,2013-02-01
384,VIA VERONA AVE,,Ward 3,,,CAMPANALE HOMES,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,6575,263,1300565,Construction,2013-02-01
378,VIA VERONA AVE,,Ward 3,,18 & 19,CAMPANALE HOMES,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,7800,312,1300566,Construction,2013-02-01
422,VIA VERONA AVE,,Ward 3,4M-,18-19,CAMPANALE HOMES,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,5575,223,1300567,Construction,2013-02-01
418,VIA VERONA AVE,,Ward 3,,,CAMPANALE HOMES,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,5450,218,1300568,Construction,2013-02-01
400,VIA VERONA AVE,,Ward 3,4M-,,CAMPANALE CONSTRUCTION LTD.,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,7575,303,1300569,Construction,2013-02-01
382,VIA VERONA AVE,,Ward 3,,,CAMPANALE HOMES,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,5450,218,1300570,Construction,2013-02-01
386,VIA VERONA AVE,,Ward 3,,,CAMPANALE HOMES,Rowhouse,Nepean,Finish  the basement in a 2 storey detached dwelling,0,5575,223,1300571,Construction,2013-02-01
388,VIA VERONA AVE,,Ward 3,,,CAMPANALE HOMES,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,5125,205,1300572,Construction,2013-02-01
392,VIA VERONA AVE,,Ward 3,,,CAMPANALE HOMES,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,6650,266,1300573,Construction,2013-02-01
6,MEADOWLARK RD,K1J 8N8,Ward 11,688,16,CONTRACTOR UNKNOWN,Single,Gloucester,Interior alterations to remove a load bearing wall in a 2 storey detached dwelling,0,10649,19,1300575,Construction,2013-02-01
8,YORK ST,K1N 5S6,Ward 12,4M-42482,PT LOTS 1-3 & 5,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit-up on the 3rd floor of a 3 storey office building (Suite 302),0,25000,2079,1300576,Construction,2013-02-01
3023,OTTERSON DR,K1V 7B5,Ward 16,564,21,CAPITAL EXCAVATION,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling with attached garage,-1,10000,-1800,1300577,Demolition,2013-02-01
112,KENT ST,K1A 0W8,Ward 14,3922,3-10,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the ground floor of a 22 storey office building,0,987000,5758,1300578,Construction,2013-02-01
383,CUMBERLAND ST,K1N 1J7,Ward 12,676,,TUNGSTEN RENOS,Apartment,Old Ottawa,Interior alterations on the 9th floor of an 11 storey apartment building (Unit # 910),0,25000,560,1300579,Construction,2013-02-01
89,SPRINGWATER DR,K2M 1Y2,Ward 23,4M-636,,***CONTRACTOR***,Rowhouse,Kanata,Enclosure of a hot tub in the rear yard of a rowhouse,0,0,0,1300580,Pool Enclosure,2013-02-01
3350,FALLOWFIELD RD,K2J 5L1,Ward 3,4M-801,,CONTRACTOR UNKNOWN,Other,Nepean,"Interior alterations in a 1 storey building (The Play House Learning Centre, Unit 9) 1 W.C and 1 sink.",0,5000,16,1300581,Construction,2013-02-01
3654,JOCKVALE RD,,Ward 3,,9,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Demolition,Nepean,Demolish a 1 storey detached dwelling,-1,41451,-2626,1300582,Demolition,2013-02-01
3658,JOCKVALE RD,,Ward 3,,9,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Demolition,Nepean,Demolish a 1 storey detached dwelling,-1,41451,-6000,1300583,Demolition,2013-02-01
160,ELGIN ST,K2P 2P7,Ward 14,2996,50,"GIAMBERARDINO CONTRACTING INC.,",Office,Old Ottawa,Tenant fit up on the 24th floor of a 26 storey office building,0,184980,3767,1300584,Construction,2013-02-01
3650,JOCKVALE RD,,Ward 3,,9,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Demolition,Nepean,Demolish a 3 bay detached garage and shed,0,41451,-8000,1300585,Demolition,2013-02-01
745,BRIAN GOOD AV,,Ward 22,,21,URBANDALE CONSTRUCTION,Single,Gloucester,Construct a 2 storey detached dwelling with attached 2 car garage Model: Palermo 2011 B,1,205020,2786,1300586,Construction,2013-02-04
765,SOUTHMORE DR W,K1V 6Z9,Ward 16,776,211,JOHN GRANT RENOVATIONS,Single,Old Ottawa,Interior alterations to install a load bearing beam in a 1 storey detached dwelling,0,5000,400,1300587,Construction,2013-02-04
11,SUTTON PL,K2E 5G1,Ward 9,310509,121,MULTI-DRAIN INC,Single,Nepean,PLUMBING ONLY - Install a mainline backwater valve on the sanitary sewer in a detached dwelling,0,0,0,1300588,Construction,2013-02-04
