ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
1125,COLONEL BY DR,K1S 5B6,Ward 17,4M-,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations on the 3rd floor of a 5 storey university - Carleton's laboratory,0,800000,3843,1302348,Construction,2013-05-01
16,MAC STOREY ST,,Ward 21,M292,7,KICKING HORSE DESIGN & BUILD,Single,Goulbourn,Construct an attached garage (side yard),0,30000,432,1302349,Construction,2013-05-01
100,AKERSON RD,,Ward 23,4M-1383,,CONTRACTOR UNKNOWN,Other,Kanata,Construct a 1 storey gazebo in a park ( Soho Park),0,12500,400,1302350,Construction,2013-05-01
2054,TILSON ST,K1G 2M7,Ward 18,697,1389,CLUB PISCINE,Single,Old Ottawa,Install an enclosure for an above ground pool (rear yard),0,0,0,1302351,Pool Enclosure,2013-05-01
1750,RUSSELL RD,K1G 5Z6,Ward 18,,14,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations on the 1st floor of a 2 storey long term care facility (The Perley and Rideau Veterans Centre),0,15000,646,1302352,Construction,2013-05-01
12,KARENDALE ST,K2G 6V7,Ward 22,4M-1093,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Finish the basement in a 2 storey rowhouse,0,20400,549,1302353,Construction,2013-05-01
56,CEDARHILL DR,K2R 1C5,Ward 3,M278,,CONTRACTOR UNKNOWN,Other,Nepean,TEMPORARY PERMIT: Erect a temporary tent for special event (Cedarhill Golf & Country Club),0,500,1501,1302354,Construction,2013-05-01
970,SHAMIR AVE,K1G 2T2,Ward 18,728,584,***CONTRACTOR***,Single,Old Ottawa,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement),1,20000,840,1302355,Construction,2013-05-01
170,RAVENVIEW WAY,K2W 0E2,Ward 5,4M-1392,17,***CONTRACTOR***,Single,West Carleton,Construct a 2 storey detached dwelling with attached garage,1,694974,5215,1302356,Construction,2013-05-01
78,ELM ST,K1R 6N3,Ward 14,13,pt lot 60,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations in the basement of 2 storey detached dwelling,0,40000,555,1302357,Construction,2013-05-01
