ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
555,PINAWA CIR,,Ward 3,4M-1423,224,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Aspen 2010 B,1,441163,2968,1306984,Construction,2013-10-01
580,PINAWA CIR,,Ward 3,4M-1423,248,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Evergreen 2010 B,1,532131,3580,1306985,Construction,2013-10-01
510,PINAWA CIR,,Ward 3,4M-1423,50205,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Aspen 2010 B,1,441163,2968,1306986,Construction,2013-10-01
506,PINAWA CIR,,Ward 3,,50203,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Magnolia 2010 A,1,331467,2230,1306987,Construction,2013-10-01
551,PINAWA CIR,,Ward 3,4M-1423,22,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Aspen 2010 B,1,441163,2968,1306988,Construction,2013-10-01
1244,DONALD ST,K1J 8V6,Ward 11,,26,CONTRACTOR UNKNOWN,Apartment,Gloucester,Interior alterations to the laundry room in an 18 storey apartment building,0,20000,538,1306989,Construction,2013-10-01
1600,JAMES NAISMITH DR,K1B 5N8,Ward 11,,,FRECON CONSTRUCTION LIMITED,Office,Gloucester,Exterior alterations on the 1st floor of an 8 storey commercial office building to replace access stairs and rear ramp (TD Bank),0,200000,1000,1306990,Construction,2013-10-01
2016,OGILVIE RD,K1J 7N9,Ward 11,,20,CONTRACTOR UNKNOWN,Retail,Gloucester,Tenant fit up in a 1 storey office building (Landsdowne Sales Office),0,63000,1991,1306991,Construction,2013-10-01
6,MINUETTE PL,K2G 6Z2,Ward 22,4M-1190,64,MERMAID POOLS (OGILVIE ROAD),Single,Nepean,Install an enclosure for an inground pool (rear yard),0,0,0,1306992,Pool Enclosure,2013-10-01
1480,HERON RD,K1V 6A5,Ward 18,31,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations to the elevator and lobby in a 2 storey  community centre  ( Heron Rd CC),0,465000,120,1306993,Construction,2013-10-01
349,TERRY FOX DR,K2K 2V6,Ward 4,4M642,,CONTRACTOR UNKNOWN,Office,Kanata,Tenant fit up in a 3 storey office building,0,50000,1614,1306994,Construction,2013-10-01
83,PLACEL RD,K1L 5B9,Ward 13,90,46,CONTRACTOR UNKNOWN,Single,Rockcliffe Park,Interior alterations to the basement of a 2 storey detached dwelling,0,40000,1184,1306995,Construction,2013-10-01
292,KIRCHOFFER AVE,K2A 1Y2,Ward 15,M28,152,TOMAR CUSTOM HOMES LIMITED,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,713472,4800,1306996,Construction,2013-10-01
294,KIRCHOFFER AVE,K2A 1Y2,Ward 15,M28,152,TOMAR CUSTOM HOMES LIMITED,Semi - Detached,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,713472,4800,1306996,Construction,2013-10-01
292,KIRCHOFFER AVE,K2A 1Y2,Ward 15,M-28,152,TOMAR CUSTOM HOMES LIMITED,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1,10000,-1200,1306997,Demolition,2013-10-01
45,WALLFORD WAY,K2E 6B7,Ward 9,429066,20,"CONTY, RICHARD",Single,Nepean,Construct an addition to a 2 storey detached dwelling (side & rear),0,194310,2092,1306998,Construction,2013-10-01
165,PREM CIR,K2J 0C4,Ward 3,1289,138,CONTRACTOR UNKNOWN,Mixed,Nepean,Construct a 3 storey mixed use building with attached 2 storey rowhouses (Building 3),11,2951511,27425,1306999,Construction,2013-10-01
167,PREM CIR,K2J 0C4,Ward 3,1289,138,CONTRACTOR UNKNOWN,Mixed,Nepean,Construct a 3 storey mixed use building with attached 2 storey rowhouses (Building 3),11,2951511,27425,1306999,Construction,2013-10-01
169,PREM CIR,K2J 0C4,Ward 3,1289,138,CONTRACTOR UNKNOWN,Mixed,Nepean,Construct a 3 storey mixed use building with attached 2 storey rowhouses (Building 3),11,2951511,27425,1306999,Construction,2013-10-01
171,PREM CIR,K2J 0C4,Ward 3,1289,138,CONTRACTOR UNKNOWN,Mixed,Nepean,Construct a 3 storey mixed use building with attached 2 storey rowhouses (Building 3),11,2951511,27425,1306999,Construction,2013-10-01
173,PREM CIR,K2J 0C4,Ward 3,1289,138,CONTRACTOR UNKNOWN,Mixed,Nepean,Construct a 3 storey mixed use building with attached 2 storey rowhouses (Building 3),11,2951511,27425,1306999,Construction,2013-10-01
175,PREM CIR,K2J 0C4,Ward 3,1289,138,CONTRACTOR UNKNOWN,Mixed,Nepean,Construct a 3 storey mixed use building with attached 2 storey rowhouses (Building 3),11,2951511,27425,1306999,Construction,2013-10-01
177,PREM CIR,K2J 0C4,Ward 3,1289,138,CONTRACTOR UNKNOWN,Mixed,Nepean,Construct a 3 storey mixed use building with attached 2 storey rowhouses (Building 3),11,2951511,27425,1306999,Construction,2013-10-01
200,KENNEVALE DR,,Ward 3,1289,138,CONTRACTOR UNKNOWN,Mixed,Nepean,Construct a 3 storey mixed use building with attached 2 storey rowhouses (Building 3),11,2951511,27425,1306999,Construction,2013-10-01
240,KENNEVALE DR,,Ward 3,1289,138,CONTRACTOR UNKNOWN,Mixed,Nepean,Construct a 3 storey mixed use building with underground parking garage (BLDG 2),6,3176288,29009,1307000,Construction,2013-10-01
69,ROSS AVE,K1Y 0N6,Ward 15,4M-52,pt lot 794,***CONTRACTOR***,Semi - Detached,Old Ottawa,Interior alterations to a 2 storey semi-detached dwelling (add new window),0,5000,107,1307001,Construction,2013-10-01
50,RIDEAU ST,K1N 9J7,Ward 12,3922,1-67,MCKENZIE CONSTRUCTION GROUP,Retail,Old Ottawa,"Tenant fit-up to the 1rst floor of a 3 storey retail building (HMV, Unit 130)",0,100000,1950,1307002,Construction,2013-10-01
1647,KILMAURS SIDE RD,K0A 3M0,Ward 5,4M-,16,***CONTRACTOR***,Single,West Carleton,Install a woodstove in a detached garage,0,1000,10,1307003,Construction,2013-10-01
61,PINEGLEN CRES,K2G 0G9,Ward 9,,24,"BARBOSA, ROB",Single,Nepean,Exterior and interior alterations to a  2 storey detached dwelling,0,25000,689,1307004,Construction,2013-10-01
35,MCINTOSH WAY,K2L 2N9,Ward 23,M226,160,CONTRACTOR UNKNOWN,Single,Kanata,Exterior alteations and finish the basement of a 2 storey detached dwelling,0,38349,633,1307009,Construction,2013-10-01
1419,RAINBOW CRES,K1J 8E3,Ward 11,854,219,"MASIH, SHAILESH",Single,Gloucester,Interior alterations to a 1 storey detached dwelling (basement window),0,3500,136,1307011,Construction,2013-10-01
1,BUFFALO CIR,K2E 5J7,Ward 9,404422,397,MERMAID POOLS (OGILVIE ROAD),Single,Nepean,Install an enclosure for an above ground pool (rear yard),0,0,0,1307012,Pool Enclosure,2013-10-01
