ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
291,CLEMOW AVE,K1S 2B7,Ward 17,m11,73,CONTRACTOR UNKNOWN,Single,Old Ottawa,REVISION PERMIT 1302201- Interior alterations to a 1 storey addition,0,6000,0,1302201,Construction,2013-09-10
1630,AMBERDALE CRES,K1H 7B3,Ward 18,822,39,***CONTRACTOR***,Single,Old Ottawa,Construct a 1 storey addition to a 2 storey detached dwelling (rear yard),0,9810,66,1306204,Construction,2013-09-03
4782,BANK ST,K0A 2P0,Ward 22,,18 & 19,CONTRACTOR UNKNOWN,Retail,Gloucester,Construct a 1 storey restaurant (McDonalds),0,963623,5459,1306205,Construction,2013-09-03
178,FOURTH AVE,K1S 2L6,Ward 17,44183,60,AMSTED CONSTRUCTION LTD.,Single,Old Ottawa,Construct a 1 storey addtion (rear yard),0,98660,1062,1306206,Construction,2013-09-03
160,MONTBLANC PRIV,,Ward 1,4M-1250,,MINTO COMMUNITIES INC.,Apartment,Gloucester,"Construct a 4 storey, 17 unit apartment building (superstructure)",0,3630086,24422,1306207,Construction,2013-09-03
770,CHAPMAN MILLS DR,K2J 3V2,Ward 22,4M1417,,MINTO COMMUNITIES INC.,Apartment,Nepean,Construct a 1 storey garbage enclosure,0,28000,382,1306208,Construction,2013-09-03
1952,SCULLY WAY,K4A 4H1,Ward 19,4M-1129,1,***CONTRACTOR***,Detached Garage/Shed,Cumberland,Construct a shed (rear yard),0,9000,160,1306209,Construction,2013-09-03
912,RIDDELL AVE N,K2A 2W2,Ward 7,303,,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a deck (rear yard),0,3000,80,1306210,Construction,2013-09-03
914,RIDDELL AVE N,K2A 2W2,Ward 7,303,27,CONTRACTOR UNKNOWN,Single,Old Ottawa,Cobnstruct a deck (rear yard),0,3000,80,1306211,Construction,2013-09-03
1420,BLAIR PL,K1J 9L8,Ward 11,4M-,21,MASSICOTTE CONSTRUCTION LTD,Office,Gloucester,Tenant fit up on the 4th floor of an 8 storey office building,0,380000,12916,1306212,Construction,2013-09-03
275,KINGLET WAY,K1E 2T9,Ward 1,50M-69,9,CLUB PISCINE,Single,Cumberland,Install an enclosure for a above ground pool,0,0,0,1306213,Pool Enclosure,2013-09-03
576,ROOSEVELT AVE,K2A 2A1,Ward 15,235,32,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey detached dwelling,1,386153,3117,1306214,Construction,2013-09-03
576,ROOSEVELT AVE,K2A 2A1,Ward 15,235,32,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1,5000,-2390,1306215,Demolition,2013-09-03
158,GRAINSTONE WAY,K2T 0H3,Ward 5,4M-1489,206,UNIFORM URBAN DEVELOPMENTS,Single,Kanata,Construct a 2 storey detached dwelling,1,505525,3401,1306216,Construction,2013-09-03
320,WEST HUNT CLUB RD,K2E 0B7,Ward 9,,,PLATINUM CONSTRUCTION,Retail,Nepean,Construct a 1 storey retail building (Panera Bakery Cafe),0,758118,4295,1306217,Construction,2013-09-03
1877,DAUPHIN RD,K1G 2L4,Ward 18,627,194,"INSHAW, DAVID",Single,Old Ottawa,Changing basement windows in a detached dwelling,0,5000,1,1306218,Construction,2013-09-03
55,MCCURDY DR,K2L 4A9,Ward 23,4M-,,POTENTIA SOLAR INC,Other,Kanata,Install 481solar panels and 40 roof anchors on a 1 storey school (roof),0,79573,0,1306219,Construction,2013-09-03
25,LEACOCK DR,K2K 1S2,Ward 4,786,,POTENTIA SOLAR INC,Other,Kanata,Install 351 solar panels and 38 roof anchors to a 1 storey school (roof),0,62730,0,1306220,Construction,2013-09-03
63,BLUEGRASS DR,K2M 1G2,Ward 23,4M-,,POTENTIA SOLAR INC,Other,Kanata,Install 390 solar panels and 49 roof anchors on a 1 storey school (roof),0,72750,0,1306221,Construction,2013-09-03
27,HOBIN ST,K2S 1G8,Ward 6,437,,POTENTIA SOLAR INC,Single,Goulbourn,Install 455 solar panels and 40 roof anchors on a 1 storey school (roof),0,76013,0,1306222,Construction,2013-09-03
110,PLACE D'ORLEANS DR,K1C 2L9,Ward 1,,37,CPI CONSTRUCTION INC.,Retail,Cumberland,Tenenat fit up in a 2 storey retail building (The Source - Unit 1232),0,100000,1924,1306224,Construction,2013-09-03
1859,HUNTER'S RUN DR,K1C 6X5,Ward 2,4M-,,AMSTED CONSTRUCTION LTD,Single,Gloucester,PLUMBING PERMIT ONLY:  Interior alterations to replace fixtures in 2 washrooms on the 2nd floor of a 2 storey detached dwelling,0,0,0,1306225,Construction,2013-09-03
5585,OSGOODE MAIN ST,,Ward 20,,,JUSTICE CONSTRUCTION LTD.,Single,Osgoode,Construct a 2 storey addition to a 2 storey detached dwelling (rear yard),0,138235,930,1306226,Construction,2013-09-03
50,RIDEAU ST,K1N 9J7,Ward 12,3922,1-10,PCL CONTRACTORS CANADA INC,Retail,Old Ottawa,EXCAVATION AND SHORING  - Construct a 4 storey retail building with 3 levels of underground parking - Rideau Centre,0,4000000,0,1306227,Construction,2013-09-03
1041,CROMWELL DR,K1V 6K3,Ward 16,749,PT LOT 45 & 46,OTTAWA FOUNDATION CONTRACTORS,Single,Old Ottawa,Underpinning the foundation of the garage wall in a 2 storey detached dwelling,0,10000,388,1306228,Construction,2013-09-03
73,LEIKIN DR,,Ward 22,4M-,,CONTRACTOR UNKNOWN,Office,Nepean,Tenant fit-up on the 1st floor of a 1 storey office building (RCMP HQ),0,14200,151,1306229,Construction,2013-09-03
412,TILLSONBURG ST,K2T 0C3,Ward 4,4M-1413,36,CONTRACTOR UNKNOWN,Single,Kanata,Construct a deck (rear yard),0,12000,336,1306230,Construction,2013-09-03
117,GRANTON AVE,K2G 1X4,Ward 8,375,2511-2514,CONTRACTOR UNKNOWN,Detached Garage/Shed,Nepean,Construct a shed at the rear of a 1 storey detached dwelling,0,10000,180,1306231,Construction,2013-09-03
857,CONNAUGHT AVE,K2B 5M5,Ward 7,348,246,HOLLAND RENOVATIONS,Single,Old Ottawa,Construct a 1 storey addition to a 2 storey detached dwelling (rear yard),0,35674,240,1306232,Construction,2013-09-03
176,BAYSWATER AVE,K1Y 2G3,Ward 15,92 1/2,36,CONTRACTOR UNKNOWN,Single,Old Ottawa,Remove and construct new front porch on a 2 storey detached dwelling,0,12000,129,1306233,Construction,2013-09-03
93,HOULAHAN ST,,Ward 3,3807,15-16,CONTRACTOR UNKNOWN,Other,Nepean,"TEMPORARY PERMIT- erect three temporary tents (each being 966m2) for a special event (Oktoberfest) ( Sept 27 - 29, 2013)",0,6000,31200,1306234,Construction,2013-09-03
1119,FIELD ST,K2C 2P6,Ward 8,341791,298,OTTAWA GENERAL CONTRACTORS,Single,Old Ottawa,Finish the basement in a 2 storey detached dwelling,0,22296,600,1306235,Construction,2013-09-03
404,APPLE TREE LANE,K1K 2R5,Ward 13,622,,OTTAWA GENERAL CONTRACTORS,Single,Old Ottawa,Interior alterations in a 2 storey detached dwelling,0,14071,71,1306236,Construction,2013-09-03
198,MANORWOOD CRES,K1T 0L5,Ward 22,4M-1484,,TARTAN HOMES CORPORATION,Semi - Detached,Gloucester,"Construct a 2 Storey Semi - Detached with attached garages  Models: Hawthorn 2011,Red Oak 2012",2,590546,3973,1306237,Construction,2013-09-03
