ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
240,ROYAL AVE,K2A 1T7,Ward 15,M28,288,***CONTRACTOR***,Single,Old Ottawa,Interior alterations on the 1st and 2nd floor of a 2 storey detached dwelling,0,12000,97,1400002,Construction,2014-01-02
319,PERCHERON WAY,K2V 0A9,Ward 6,4M-1491,29,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Berkshire II 2011 A4,1,486796,3275,1400003,Construction,2014-01-02
2039,ROBERTSON RD,K2H 8R2,Ward 8,M-65,pt 11,K.W. FIELDS CONSTRUCTION SERVICES LIMITED,Office,Nepean,"Tenant fit-up in a 2 storey office building (Medical Office, Suite 212)",0,9550,1000,1400004,Construction,2014-01-02
320,EQUINE WAY,K2V 0A8,Ward 6,4M-1491,50,CARDEL HOMES LIMITED PARTNERSHIP OTTAWA DIVISION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Devonshire II 2011 A3,1,319873,2152,1400005,Construction,2014-01-02
628,KEENAN AVE,K2A 0N9,Ward 15,4M-29,547 TO 548,FINE SPACES CONSTRUCTION INC,Single,Old Ottawa,Finish the basement of a 2 storey detached dwelling,0,15607,420,1400006,Construction,2014-01-02
31,VARLEY LANE,K2K 1E3,Ward 4,815,,CONTRACTOR UNKNOWN,Rowhouse,Kanata,Repair/Renovation of a 2 storey rowhouse (marijuana grow operation),0,10000,1000,1400007,Construction,2014-01-02
14,PONDHOLLOW WAY,K2J 4Y4,Ward 22,4M-1073,184,***CONTRACTOR***,Single,Nepean,Finish the basement in a 2 storey detached dwelling,0,26012,700,1400008,Construction,2014-01-02
1667,MERIVALE RD,K2G 3K2,Ward 9,,pt 32,CHOICE CONSTRUCTION,Retail,Nepean,"Tenant fit up in a 1 storey retail building (Nail Salon, Unit 2)",0,40000,1507,1400009,Construction,2014-01-02
219,ASTURCON ST,K2V 0B1,Ward 6,,1025,MONARCH CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Arabian 2012 B,1,529752,3564,1400010,Construction,2014-01-02
1585,MEADOWFIELD PL,K1C 5V8,Ward 2,4M-442,152,OLISTIN HOME RENOVATIONS,Single,Gloucester,Interior alterations to a 2 storey detached dwelling (remove load bearing wall - kitchen renovations),0,6500,0,1400011,Construction,2014-01-02
2286,RYAN DR,K2C 1K6,Ward 8,391688,27,PAID 4 POWER INC,Single,Old Ottawa,Install solar panels on a 2 storey detached dwelling,0,30000,0,1400012,Construction,2014-01-02
775,CABRIS CRES,K4A 0T6,Ward 19,4M-1421,27,***CONTRACTOR***,Single,Cumberland,Finish the basement in 1 storey detached dwelling,0,28539,768,1400013,Construction,2014-01-03
47,BLACKSHIRE CIR,K2J 5M2,Ward 22,4M-1188,126,KEMPTVILLE POOL & SPA,Single,Nepean,Install an enclosure for an inground pool (rear yard),0,0,0,1400014,Pool Enclosure,2014-01-03
2038,CALICO CRES,K4A 4L7,Ward 19,4M-1139,16,KEMPTVILLE POOL & SPA,Single,Cumberland,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1400015,Pool Enclosure,2014-01-03
15,BIRKETT ST,K2J 2V1,Ward 3,4M-538,48,KEMPTVILLE POOL & SPA,Single,Nepean,Install an enclosure for an inground pool (rear yard),0,0,0,1400016,Pool Enclosure,2014-01-03
1597,BOTSFORD ST,K1G 0R2,Ward 18,665,969,KEMPTVILLE POOL & SPA,Single,Old Ottawa,Install an enclosure for an inground pool (rear yard),0,0,0,1400017,Pool Enclosure,2014-01-03
588,PINAWA CIR,,Ward 3,4M-1423,50252,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Aspen 2010 B,1,441163,2968,1400018,Construction,2014-01-03
247,STEDMAN ST,K1T 0C1,Ward 10,4M-1290,99,KEMPTVILLE POOL & SPA,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0,0,0,1400019,Pool Enclosure,2014-01-03
324,SOMERSET ST W,K2P 0J9,Ward 14,15558,43,NOCITA BROTHERS INC,Retail,Old Ottawa,Tenant fit up on the 1st floor of a 3 storey retail building (Change from office use to Joseph's Salon),0,40000,1292,1400020,Construction,2014-01-03
1825,CEDARLAKES WAY,K4P 0E3,Ward 20,4M-1479,21,CONTRACTOR UNKNOWN,Single,Osgoode,Construct a 1 storey detached dwelling,1,396934,3022,1400021,Construction,2014-01-03
592,PINAWA CIR,,Ward 3,4M1423,50254,MONARCH CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Aspen 2010 B,1,441163,2968,1400022,Construction,2014-01-03
50,RIDEAU ST,K1N 9J7,Ward 12,3922,1-67,DAMA CONSTRUCTION,Retail,Old Ottawa,"Interior alterations to the 2nd floor of a 3 storey retail building (Sephora, Unit E272)",0,675000,6081,1400023,Construction,2014-01-03
7683,FAIRHURST DR,,Ward 21,4M-822,6,THE HEAT SOURCE,Single,Rideau,Install a solid fuel burning appliance (pellet stove) in a 1 storey single family dwelling.,0,5500,0,1400024,Construction,2014-01-03
151,CRICHTON ST,K1M 1W1,Ward 13,42,lot 12,CORNELIS GREY CONSTRUCTION INC.,Single,Old Ottawa,Exterior alterations to a 3 storey semi-detached dwelling (install new patio door and a new window opening),0,6000,10,1400025,Construction,2014-01-03
67,EVANSHEN CRES,K2K 2Z7,Ward 4,4M-925,,***CONTRACTOR***,Single,Kanata,Install an enclosure for an inground pool (rear yard),0,0,0,1400026,Pool Enclosure,2014-01-03
616,WHITE ALDER AVE,K1T 0E5,Ward 22,4M-1385,69,ASP INVESTMENTS,Single,Gloucester,"Rebuild a 2 storey detached dwelling (due to fire, foundation remaining)",0,316900,2132,1400027,Construction,2014-01-03
435,NITTANY CRES,K2J 5P2,Ward 22,4M-1272,106,CONTRACTOR UNKNOWN,Single,Nepean,Install an enclosure for an above ground pool (rear yard),0,0,0,1400029,Pool Enclosure,2014-01-03
340,TOWHEE PL,K2J 5V3,Ward 3,4M-1443,48,TAMARACK DEVELOPMENTS CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: 3024 2012 B w Ext. Garage,1,291037,1958,1400030,Construction,2014-01-03
327,CATHERINE ST,K1R 5T4,Ward 14,30,29,8116415 CANADA INC,Mixed,Old Ottawa,"Interior alterations to finish basement in an existing 2 storey, 2 unit mixed use building.",0,18580,500,1400031,Construction,2014-01-03
331,CATHERINE ST,K1R 5T4,Ward 14,30,29,8116415 CANADA INC,Apartment,Old Ottawa,To construct an addititional fifth unit in the basement of an existing 4 unit building (part of an existing  mixed use development),1,17465,470,1400032,Construction,2014-01-03
2858,GRANDEUR AVE,K2B 6Y9,Ward 7,209,7,NORTHWOOD COUNTRY HOMES,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,7000,-890,1400033,Demolition,2014-01-06
2858,GRANDEUR AVE,K2B 6Y9,Ward 7,209,7,NORTHWOOD COUNTRY HOMES,Single,Old Ottawa,Construct a 3 storey detached dwelling,1,540864,4493,1400034,Construction,2014-01-06
200,KENT ST,K1A 0M1,Ward 14,2996,22 to 23,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 7th floor of a 15 storey office building,0,77000,1324,1400035,Construction,2014-01-06
255,ALBERT ST,K1A 0H2,Ward 14,3922,1 TO 3 & PTLT4,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to add a fan coil on the 13th floor and a base board heater on the 16th floor of a 16 storey office building,0,83000,2691,1400036,Construction,2014-01-06
255,ALBERT ST,K1A 0H2,Ward 14,3922,1-3 pt 4,INNOVATIVE CONSTRUCTION INC.,Office,Old Ottawa,Interior alterations on the 10th floor of an 18 storey office building (adding a DX split system),0,50000,0,1400037,Construction,2014-01-06
1235,DONALD ST,K1J 8W3,Ward 11,26,20-23,WORKING INTERIORS INC.,Commercial,Gloucester,Interior alterations to install the framing for an HVAC unit in a 1 storey restaurant - Unit 10 & 11,0,1000,4564,1400038,Construction,2014-01-06
288,SPENCER ST,K1Y 2R2,Ward 15,145,8,***CONTRACTOR***,Single,Old Ottawa,Install an enclosure for an above ground pool (rear yard),0,0,0,1400039,Pool Enclosure,2014-01-06
275,SLATER ST,K1P 5H9,Ward 14,3922,27-31,BASSI CONSTRUCTION LTD,Office,Old Ottawa,Interior office alterations on the 14th storey (single tenant) of a 15 storey office building,0,90000,10825,1400040,Construction,2014-01-06
391,GLADSTONE AVE,K2P 0Y9,Ward 14,21612,2,T.K.S. HOLDINGS INC.,Retail,Old Ottawa,"Interior structural repairs to a 1-storey commercial building (make level the ground floor, alter staircases, and install an elevator lift).",0,100000,1872,1400041,Construction,2014-01-06
6109,FORESTGLEN CRES,K1C 5N9,Ward 2,4M-427,129,***CONTRACTOR***,Single,Gloucester,Interior alterations on the 1st floor of a 2 storey detached dwelling (remove load bearing wall and add a pantry),0,3000,161,1400042,Construction,2014-01-06
7,BEVERLEY AVE,K1Y 1M7,Ward 15,106706,43,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to the basement to replace a window,0,4000,0,1400043,Construction,2014-01-06
713,MORNINGSTAR WAY,K1W 0G6,Ward 2,4M-1450,46,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 44-02 2011 A,1,394936,2657,1400044,Construction,2014-01-06
1850,BASELINE RD,K2C 0C6,Ward 8,,PT LOT 35,TERLIN CONSTRUCTION,Commercial,Old Ottawa,Interior alterations to a 1 storey commercial building (McDonald's Restaurant),0,200000,2153,1400045,Construction,2014-01-06
63,PINHEY ST,K1Y 1T5,Ward 15,105,pt 10,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 3 storey detached dwelling,1,443393,3058,1400046,Construction,2014-01-06
41,FIELDGATE DR,K2J 1V3,Ward 3,M-190,285,***CONTRACTOR***,Single,Nepean,Finish the basement in a 1 storey detached dwelling,0,33444,900,1400047,Construction,2014-01-06
101,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
103,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
105,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
107,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
109,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
111,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
113,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
115,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
117,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
119,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
121,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
123,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
125,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
127,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
129,CHAPERAL PRIV,,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Rowhouse,Cumberland,Construct a 3 storey block of 15 rowhouse dwellings,15,2601857,24189,1400048,Construction,2014-01-06
275,SLATER ST,K1P 5H9,Ward 14,3922,pt 27-31,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Tenant fit-up on the 3rd floor of a 15 storey building (CCTS, 3rd floor)",0,200000,10500,1400049,Construction,2014-01-06
48,SHERRING CRES,K2K 2T1,Ward 4,4M-828,48,CONTRACTOR UNKNOWN,Single,Kanata,Interior alterations to a 2 storey detached dwelling (remove a non-load bearing wall & alter 2nd floor bathroom),0,4000,86,1400050,Construction,2014-01-06
999,WELLINGTON ST W,K1Y 2Y1,Ward 15,57,20,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Interior alterations in a 1 storey take-out restaurant - Tacolot,0,10000,400,1400051,Construction,2014-01-06
9,RICHLIN CRES,K2B 8L5,Ward 7,645840,144,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct an addition to a split level detached dwelling (rear),0,74997,870,1400054,Construction,2014-01-07
500,PALLADIUM DR,K2V 1C2,Ward 23,,1,CONTRACTOR UNKNOWN,Office,Kanata,Interior alterations on the 1st floor of a 3 storey building (rolling door),0,15000,16,1400056,Construction,2014-01-07
953,MESSOR CRES,K2S 0P2,Ward 6,4M1401,,***CONTRACTOR***,Rowhouse,West Carleton,Finish the basement in a 2 storey townhome.,0,15979,430,1400057,Construction,2014-01-07
18,MCLENNAN WAY,K2L 2M9,Ward 23,M231,58,GCW RENOVATION,Single,Kanata,Interior alterations  in a 2 storey detached dwelling (Kitchen and dining room renovation),0,30000,320,1400058,Construction,2014-01-07
3490,CAMBRIAN RD,K2J 0V1,Ward 3,4M-,,CONTRACTOR UNKNOWN,Institutional,Nepean,Install 2 new portable classrooms at a school for a total of 6 portables on site (St. Cecilia Elementary School),0,8000,1536,1400059,Construction,2014-01-07
2515,BANK ST,K1V 0Y4,Ward 10,5922,3-4,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Expansion of existing bank into the adjoining suite, complete with fit-up of entire suite. (Scotiabank, Unit 12)",0,662000,5338,1400061,Construction,2014-01-07
2343,RIDGECREST PL,K1H 7V4,Ward 18,623,2,***CONTRACTOR***,Single,Old Ottawa,"Interior alterations in a 2 storey detached dwelling (basement, construct bathroom)",0,3000,121,1400062,Construction,2014-01-07
255,DANIEL AVE,K1Y 0C7,Ward 15,4M-388,93,***CONTRACTOR***,Single,Old Ottawa,Interior alterations on the main floor of a 1 storey detached dwelling (remove load-bearing wall),0,8000,80,1400063,Construction,2014-01-07
12,BALLANTRAE WAY,K2L 1N4,Ward 23,882,821,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device on the building drain,0,0,0,1400064,Construction,2014-01-07
191,LAURIER AVE W,K1P 1E7,Ward 14,3922,49,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 7th floor of a 20 storey office building (Canadian Border Services),0,50000,1001,1400065,Construction,2014-01-07
67,MERSEY DR,K2K 0H2,Ward 4,,10,***CONTRACTOR***,Rowhouse,Kanata,Finish the basement of a 3 storey rowhouse,0,7432,200,1400066,Construction,2014-01-07
110,PLACE D'ORLEANS DR,K1C 2L9,Ward 1,,37,JAG BUILDING GROUP INC.,Commercial,Cumberland,Tenant fit-up in a 2 storey retail building (Place D'Orleans Gymboree Unit 1345),0,110000,2002,1400067,Construction,2014-01-07
357,BAMBURGH WAY,K2J 5R1,Ward 3,4M-1449,24,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Platina 2007 B,1,253180,3474,1400068,Construction,2014-01-07
355,BAMBURGH WAY,K2J 5R1,Ward 3,4M-1449,25,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Chesapeake 2007 B 4 bdrm,1,219440,2992,1400069,Construction,2014-01-07
9,WHITE CEDAR ST,K2S 1P1,Ward 6,570,pt lot 18,***CONTRACTOR***,Rowhouse,Goulbourn,Construct 2 decks (rear/side yards),0,5500,260,1400070,Construction,2014-01-07
432,HAMILTON AVE S,K1Y 1E3,Ward 15,207509,63,OAKWOOD BUILDERS,Single,Old Ottawa,Interior alterations to a 2 storey detached dwelling (kitchen),0,6000,105,1400071,Construction,2014-01-07
590,MONTREAL RD,K1K 0T9,Ward 13,26,34,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Interior alterations to install new fire department connection on an existing sprinklered building (Independent Grocers),0,6000,20,1400072,Construction,2014-01-07
12,DALECROFT CRES,K2G 5V9,Ward 8,4M682,22,OAKWOOD BUILDERS,Single,Nepean,Interior alternations to the 2nd floor bathrooms in a 2 storey detached dwelling,0,6000,137,1400073,Construction,2014-01-07
42,POOLE CREEK CRES,K2S 1T7,Ward 6,4M373,34,OAKWOOD BUILDERS,Single,Goulbourn,Interior renovation to 2 bathrooms in a detached dwelling,0,6000,100,1400074,Construction,2014-01-07
1331,CLYDE AVE,K2C 3G4,Ward 16,4M-,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit up in unit 103 in a 1 storey strip mall - GNC,0,83000,1358,1400075,Construction,2014-01-07
98,BANNING RD,K2L 1C2,Ward 23,809,443,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device in a building drain,0,0,0,1400076,Construction,2014-01-07
97,BANNING RD,K2L 1C1,Ward 23,773,166,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing Device in a building drain,0,0,0,1400077,Construction,2014-01-07
72,SHOULDICE CRES,K2L 1M9,Ward 23,4M-,,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY:  Install a Protective Plumbing Device on the building drain,0,0,0,1400078,Construction,2014-01-07
332,SUGAR PINE CRES,K2M 0H6,Ward 23,4M-1495,76,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,457514,3078,1400079,Construction,2014-01-07
316,SUGAR PINE CRES,K2M 0H6,Ward 23,4M-1495,84,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 2 storey detached dwelling,1,371117,2829,1400080,Construction,2014-01-07
