ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
6523,WATERDOWN ST,K4P 0E7,Ward 20,4M-XXXX,58,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Osgoode,Construct a 2 Storey Single with attached garage  Model: Tuscana 2011 A,1,258633,1740,1403236,Construction,2014-06-02
79,DALY AVE,K1N 6E3,Ward 12,6,4,ADCOR CONSTRUCTION,Apartment,Old Ottawa,Remove and replace rear decks,0,12500,250,1403237,Construction,2014-06-02
99,BANK ST,K1P 5A3,Ward 14,,,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Interior alterations on 3rd floor of a 15 storey office building (House of Commons, Unit 300)",0,259095,5382,1403238,Construction,2014-06-02
386,ASHBURY RD,K1M 0R8,Ward 13,251,17,***CONTRACTOR***,Detached Garage/Shed,Rockcliffe Park,Construct a detached garage (rear yard),0,12000,576,1403239,Construction,2014-06-02
6110,BUTTONFIELD PL,K1W 1C2,Ward 2,4M-743,37,"SHARKEY, JOHN",Single,Gloucester,Interior alterations on the 1st floor of a 2 storey detatched dwelling (kitchen),0,7000,10,1403240,Construction,2014-06-02
50,RIDEAU ST,K1N 9J7,Ward 12,3922,1-10,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Tenant fit-up on the 2nd floor of a 3 storey retail building ( Rideau Centre, Virgin/Bell, Unit# 327B)",0,50000,731,1403241,Construction,2014-06-02
50,RIDEAU ST,K1N 9J7,Ward 12,3922,1-10,DLS CEMENT,Retail,Old Ottawa,"Tenant fit-up on the 2nd floor of a 3 storey retail building ( Rideau Centre, Virgin/Bell, Unit# 327B)",0,50000,731,1403241,Construction,2014-06-02
1508,MONAGHAN LANE,K2W 1B4,Ward 5,4M-829,32,***CONTRACTOR***,Detached Garage/Shed,Kanata,Construct a detached garage (rear yard),0,20000,676,1403242,Construction,2014-06-02
2377,MAGNUS AVE,K1G 1J6,Ward 18,102,195,***CONTRACTOR***,Single,Old Ottawa,Exterior alterations to the existing front porch and carport of a 1 storey detached dwelling,0,1850,0,1403243,Construction,2014-06-02
7,VICKERS GUN RD,,Ward 7,,,CONTRACTOR UNKNOWN,Industrial,Nepean,Construct a self storage prefabricated dome structure with slab on grade (PWGSC),0,349381,6268,1403244,Construction,2014-06-02
2070,LANTHIER DR,,Ward 19,,1,CONTRACTOR UNKNOWN,Industrial,Cumberland,Construct a 1 storey industrial building (Hydro One),0,69616,883,1403245,Construction,2014-06-02
1043,NORTH RIVER RD,K1K 3V7,Ward 13,318,1 - 2,***CONTRACTOR***,Single,Old Ottawa,Install an enclosure for a hot tub (rear yard),0,0,0,1403246,Pool Enclosure,2014-06-02
1931,ROBERTSON RD,K2H 5B7,Ward 8,4M-,12,CONTRACTOR UNKNOWN,Office,Nepean,Tenant fit up to first floor of 1 storey office building and tenant fit up to a secondary 3 storey office building,0,2626553,65842,1403247,Construction,2014-06-02
1935,ROBERTSON RD,K2H 5B7,Ward 8,4M-,12,CONTRACTOR UNKNOWN,Office,Nepean,Tenant fit up to first floor of 1 storey office building and tenant fit up to a secondary 3 storey office building,0,2626553,65842,1403247,Construction,2014-06-02
