ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
6277,FRONTIER RD,K0A 3H0,Ward 19,,28,CONTRACTOR UNKNOWN,Detached Garage/Shed,Cumberland,Construct a detached garage,0,36000,2000,1408190,Construction,2014-11-03
4305,BLAKE RD,K1G 3N2,Ward 10,,pt lot 5,TOP HAT HOME COMFORT SERVICES,Single,Gloucester,Install a wood insert in a 1 storey detached dwelling,0,4000,0,1408191,Construction,2014-11-03
15,WINCHESTER DR,K2L 2C8,Ward 23,M-222,pt lot 1447,PRO FLOW SERVICES INC.,Single,Kanata,PLUMBING ONLY - Install a Protective Plumbing device on the building drain,0,0,0,1408192,Construction,2014-11-03
137,SPRUCE ST,K1R 6P1,Ward 14,94137,121,CONTRACTOR UNKNOWN,Single,Old Ottawa,Install a woodstove in a 2 storey detached dwelling,0,5000,1,1408193,Construction,2014-11-03
8800,MCLINTON RD,K0A 1B0,Ward 21,,2,***CONTRACTOR***,Single,Goulbourn,Install a woodstove in a 1 storey detached dwelling (family room - main level),0,1500,0,1408194,Construction,2014-11-03
2150,DWYER HILL RD,K0A 1B0,Ward 21,,5,***CONTRACTOR***,Demolition,Goulbourn,Demolish a 2 storey detached dwelling,-1,5000,-1500,1408195,Demolition,2014-11-03
1391,VIKING DR,K1V 7J6,Ward 10,874,3,CONTRACTOR UNKNOWN,Single,Old Ottawa,Replace window with door; build a 8 x 4'  enterance at the side  of a 2 storey detached dwelling,0,4756,32,1408196,Construction,2014-11-03
1325,ASHTON STATION RD,K0A 1B0,Ward 5,4M-,,HOWIE HOMES,Detached Garage/Shed,Goulbourn,Construct a detached garage (side),0,50000,952,1408197,Construction,2014-11-03
3,BIRCHWOOD DR,K2E 5S7,Ward 9,353,14,***CONTRACTOR***,Single,Nepean,Construct a secondary dwelling unit in basement of a 1.5 storey detached dwelling,1,25000,731,1408198,Construction,2014-11-03
3,SAMUEL MANN AVE,K2S 1X3,Ward 6,4M-1002,23,PROTECTIVE PLUMBING CANADA,Single,Goulbourn,PLUMBING ONLY - Install an open port backwater valve on the sanitary sewer in a detached dwelling,0,0,0,1408199,Construction,2014-11-03
